CANONICAL_ID,FSL_SOURCE_LABEL,ENGLISH_DISPLAY,FILIPINO_DISPLAY,DATASET_SOURCES,LINGUISTIC_REVIEW_STATUS
AGAIN,,Again,Muli,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
APRIL,APRIL,April,Abril,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
AUGUST,AUGUST,August,Agosto,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
AUNTIE,AUNTIE,Auntie,Tiya,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
BEER,BEER,Beer,Serbesa,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
BLACK,BLACK,Black,Itim,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
BLIND,BLIND,Blind,Bulag,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
BLUE,BLUE,Blue,Asul,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
BOY,BOY,Boy,Batang lalaki,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
BREAD,BREAD,Bread,Tinapay,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
BROWN,BROWN,Brown,Kayumanggi,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
CARD,,Card,Kard,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
CASH,,Cash,Pera,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
CHICKEN,CHICKEN,Chicken,Manok,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
COFFEE,COFFEE,Coffee,Kape,FSL-105,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
COIN,,Coin,Barya,Mapúa Transactional FSL v1,REQUIRES_FILIPINO_LANGUAGE_AND_FSL_PRESENTATION_REVIEW
