CLASS_LABEL,VIDEO_COUNT,PASS,REVIEW,REJECT_TECHNICAL,POSE_DETECTION_RATE,ANY_HAND_DETECTION_RATE,LEFT_HAND_DETECTION_RATE,RIGHT_HAND_DETECTION_RATE,BOTH_HAND_DETECTION_RATE,LANDMARK_DROPOUT_RATE,BODY_IN_FRAME_RATE,HAND_IN_FRAME_RATE,MOTION_DURATION_MS_P05,MOTION_DURATION_MS_MEDIAN,MOTION_DURATION_MS_P95,LANDMARK_FRAME_COUNT_P05,LANDMARK_FRAME_COUNT_MEDIAN,LANDMARK_FRAME_COUNT_P95,MOTION_PEAK_VELOCITY_P05,MOTION_PEAK_VELOCITY_MEDIAN,MOTION_PEAK_VELOCITY_P95,LANDMARK_VELOCITY_P05,LANDMARK_VELOCITY_MEDIAN,LANDMARK_VELOCITY_P95,RETENTION_20_MEDIAN,RETENTION_32_MEDIAN,RETENTION_48_MEDIAN
AGAIN,44,33,11,0,1.0,0.742121,0.639394,0.585455,0.482727,0.022121,1.0,0.739091,1012.0,2340.0,3000.0,24.45,57.0,74.0,0.5577562,1.02822481,1.69970179,0.16370195,0.30212711,0.51558395,0.945334,0.976664,0.988399
CARD,44,34,10,0,1.0,0.765758,0.757879,0.263636,0.255758,0.034848,1.0,0.761515,1686.0,2460.0,2816.0,37.0,60.0,70.4,0.76648959,1.04761091,1.53379063,0.1729085,0.25693301,0.40457443,0.951915,0.978052,0.990159
CASH,38,26,11,1,1.0,0.712982,0.678596,0.632632,0.598246,0.007018,1.0,0.710526,982.0,2360.0,3000.0,22.85,57.5,75.0,0.70522607,1.3076019,2.60198697,0.12493297,0.22886415,0.50964751,0.915479,0.961954,0.982936
COIN,44,27,17,0,1.0,0.718485,0.698182,0.053333,0.03303,0.022727,1.0,0.686061,1320.0,2180.0,2988.0,30.15,52.5,74.7,0.42367072,0.91399677,1.79764549,0.10825115,0.23244444,0.36243994,0.979351,0.99032,0.996054
DISCOUNT,44,28,16,0,1.0,0.677879,0.627576,0.595455,0.545152,0.00303,1.0,0.67303,1126.0,1680.0,2954.0,28.15,42.0,73.85,0.61522826,0.94594393,1.73104903,0.14813965,0.28159556,0.42069044,0.954997,0.982565,0.991678
EIGHT,44,33,10,1,1.0,0.850303,0.850303,0.0,0.0,0.007273,1.0,0.85,452.0,2400.0,3000.0,11.3,58.5,75.0,0.03177541,0.29460548,1.60350045,0.01314932,0.02396792,0.30104034,0.93411,0.966982,0.98758
FIVE,44,32,11,1,1.0,0.849091,0.849091,0.0,0.0,0.012121,1.0,0.849091,446.0,2540.0,3000.0,11.15,61.5,75.0,0.0225954,0.27295572,2.06113639,0.00824686,0.01830933,0.25535673,0.934729,0.971008,0.986668
FOUR,44,27,15,2,1.0,0.842424,0.842424,0.0,0.0,0.020606,1.0,0.842424,486.0,2500.0,3000.0,11.0,60.5,75.0,0.02308289,0.16965272,1.70232081,0.00876369,0.0186275,0.20218215,0.924622,0.967414,0.984317
HELLO,49,19,22,8,1.0,0.604082,0.604082,0.0,0.0,0.058776,1.0,0.601905,760.0,1880.0,2968.0,18.4,36.0,72.6,0.61190336,1.05179981,2.08075458,0.08562163,0.2038623,0.31529184,0.958886,0.983359,0.992224
HOW_MANY,44,20,23,1,1.0,0.620303,0.617879,0.017273,0.014848,0.052121,1.0,0.6,1070.0,1720.0,2634.0,22.3,40.5,63.85,1.01406932,1.40352906,2.3100626,0.19994958,0.42238105,0.57355313,0.96836,0.985009,0.992719
HOW_MUCH,44,12,27,5,1.0,0.579394,0.578485,0.002727,0.001818,0.059697,1.0,0.57697,606.0,1840.0,2760.0,14.0,41.5,65.0,0.49894788,1.13909877,2.16595335,0.06648514,0.26462541,0.53681583,0.951162,0.979623,0.991439
NINE,44,27,17,0,1.0,0.823636,0.823636,0.000606,0.000606,0.010303,1.0,0.823333,440.0,2340.0,3000.0,11.0,58.0,75.0,0.02330863,0.27291763,2.20016735,0.00940244,0.02293118,0.33862362,0.944441,0.968319,0.987371
NO,42,33,9,0,1.0,0.896825,0.89619,0.000635,0.0,0.00381,1.0,0.896508,1764.0,2640.0,3000.0,44.1,65.5,75.0,0.30304398,0.59019492,1.04380339,0.06459523,0.10651893,0.1891465,0.891769,0.951092,0.977731
ONE,44,21,23,0,1.0,0.810303,0.810303,0.000606,0.000606,0.019697,1.0,0.809697,682.0,2380.0,3000.0,17.05,59.0,75.0,0.02441321,0.15600694,1.40771041,0.01101876,0.02160086,0.20119656,0.922146,0.963691,0.983024
