label,total_sequences,signer_count,source_video_count,train_sequences,val_sequences,test_sequences,pose_presence_minimum,pose_presence_mean,hand_presence_minimum,hand_presence_mean,minimum_required,minimum_met
AUNTIE,214,16,16,149,24,41,1.0,1.0,0.65,0.9567757009345794,100,True
BEER,267,16,16,177,31,59,1.0,1.0,0.65,0.952247191011236,100,True
BLACK,238,16,16,139,45,54,1.0,1.0,0.65,0.9525210084033613,100,True
BLIND,216,16,16,160,13,43,1.0,1.0,0.65,0.9564814814814815,100,True
BLUE,213,16,16,141,39,33,1.0,1.0,0.65,0.9528169014084507,100,True
BOY,276,17,17,176,40,60,1.0,1.0,0.65,0.9561594202898551,100,True
CHICKEN,274,16,16,199,15,60,1.0,1.0,0.65,0.9651459854014599,100,True
COUSIN,232,16,16,175,27,30,1.0,1.0,0.65,0.9556034482758621,100,True
DEAF,255,17,17,176,29,50,1.0,1.0,0.65,0.9572549019607843,100,True
DEAF BLIND,318,16,16,236,60,22,1.0,1.0,0.65,0.9702830188679246,100,True
DON’T KNOW,243,16,16,149,43,51,1.0,1.0,0.65,0.9547325102880658,100,True
DON’T UNDERSTAND,282,17,17,211,33,38,1.0,1.0,0.65,0.9620567375886525,100,True
EIGHT,233,16,16,160,43,30,1.0,1.0,0.65,0.9566523605150214,100,True
FAST,268,17,17,191,29,48,1.0,1.0,0.65,0.9656716417910448,100,True
FATHER,248,16,16,173,47,28,1.0,1.0,0.65,0.9540322580645161,100,True
FISH,263,16,16,178,34,51,1.0,1.0,0.65,0.964638783269962,100,True
FIVE,196,16,16,160,11,25,1.0,1.0,0.65,0.9538265306122449,100,True
FOUR,209,16,16,137,44,28,1.0,1.0,0.65,0.9614832535885167,100,True
FRIDAY,290,16,16,189,40,61,1.0,1.0,0.65,0.9687931034482758,100,True
GIRL,242,16,16,172,43,27,1.0,1.0,0.65,0.9345041322314049,100,True
GOOD AFTERNOON,352,17,17,230,57,65,1.0,1.0,0.65,0.9694602272727273,100,True
GOOD EVENING,366,17,17,263,67,36,1.0,1.0,0.65,0.9722677595628415,100,True
GOOD MORNING,327,16,16,243,39,45,1.0,1.0,0.65,0.9746177370030581,100,True
GRANDFATHER,251,14,14,175,34,42,1.0,1.0,0.65,0.9665338645418327,100,True
GRANDMOTHER,218,15,15,129,45,44,1.0,1.0,0.65,0.9518348623853211,100,True
GREEN,216,17,17,161,40,15,1.0,1.0,0.65,0.9541666666666667,100,True
HARD OF HEARING,205,16,16,150,26,29,1.0,1.0,0.65,0.92,100,True
HELLO,219,16,16,148,27,44,1.0,1.0,0.65,0.9531963470319634,100,True
HOT,250,16,16,175,42,33,1.0,1.0,0.65,0.9591999999999999,100,True
IM FINE,227,16,16,129,48,50,1.0,1.0,0.65,0.9530837004405286,100,True
KNOW,264,17,17,194,34,36,1.0,1.0,0.65,0.959280303030303,100,True
MAN,290,16,16,215,35,40,1.0,1.0,0.65,0.9641379310344828,100,True
MILK,258,16,16,174,30,54,1.0,1.0,0.65,0.9608527131782946,100,True
MONDAY,293,16,16,193,40,60,1.0,1.0,0.65,0.9677474402730375,100,True
MOTHER,180,15,15,124,38,18,1.0,1.0,0.65,0.9258333333333333,100,True
NINE,231,16,16,142,42,47,1.0,1.0,0.65,0.9634199134199134,100,True
NO,254,17,17,192,16,46,1.0,1.0,0.65,0.9624015748031496,100,True
NO SUGAR,317,16,16,235,61,21,1.0,1.0,0.65,0.9727129337539432,100,True
ONE,216,16,16,166,29,21,1.0,1.0,0.65,0.95625,100,True
ORANGE,195,16,16,142,27,26,1.0,1.0,0.65,0.9497435897435897,100,True
PARENTS,247,15,15,150,47,50,1.0,1.0,0.65,0.9366396761133603,100,True
PINK,232,16,16,171,31,30,1.0,1.0,0.65,0.9530172413793103,100,True
RED,200,16,16,138,25,37,1.0,1.0,0.65,0.953,100,True
SEE YOU TOMORROW,320,16,16,200,61,59,1.0,1.0,0.65,0.97015625,100,True
SEVEN,253,17,17,186,29,38,1.0,1.0,0.65,0.9590909090909091,100,True
SIX,256,16,16,174,27,55,1.0,1.0,0.65,0.962109375,100,True
SUGAR,263,17,17,197,45,21,1.0,1.0,0.65,0.9667300380228137,100,True
TEN,229,16,16,154,45,30,1.0,1.0,0.65,0.9626637554585152,100,True
THREE,230,16,16,141,38,51,1.0,1.0,0.65,0.9517391304347826,100,True
THURSDAY,288,16,16,200,53,35,1.0,1.0,0.65,0.9666666666666667,100,True
TOMORROW,245,17,17,187,13,45,1.0,1.0,0.65,0.9651020408163266,100,True
TUESDAY,283,16,16,198,50,35,1.0,1.0,0.65,0.9689045936395759,100,True
TWO,198,16,16,147,38,13,1.0,1.0,0.65,0.9525252525252526,100,True
UNCLE,227,16,16,142,44,41,1.0,1.0,0.65,0.9570484581497798,100,True
UNDERSTAND,257,16,16,171,32,54,1.0,1.0,0.65,0.9608949416342413,100,True
WEDNESDAY,285,16,16,172,56,57,1.0,1.0,0.65,0.9666666666666667,100,True
WHITE,222,16,16,155,26,41,1.0,1.0,0.65,0.9466216216216217,100,True
WINE,261,16,16,153,49,59,1.0,1.0,0.65,0.9578544061302682,100,True
WOMAN,272,16,16,180,53,39,1.0,1.0,0.65,0.9650735294117647,100,True
WRONG,265,17,17,197,35,33,1.0,1.0,0.65,0.9632075471698113,100,True
YELLOW,211,16,16,145,36,30,1.0,1.0,0.65,0.9535545023696682,100,True
YES,239,16,16,154,48,37,1.0,1.0,0.65,0.9583682008368201,100,True
YESTERDAY,238,16,16,174,35,29,1.0,1.0,0.65,0.9632352941176471,100,True
YOURE WELCOME,277,16,16,194,29,54,1.0,1.0,0.65,0.9454873646209386,100,True
