label,video_count,one_handed_votes,two_handed_votes,ambiguous_votes,avg_left_presence,avg_right_presence,avg_both_presence,avg_left_motion,avg_right_motion,final_classification,confidence_note
APRIL,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
AUGUST,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
AUNTIE,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
BEER,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
BLACK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
BLIND,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
BLUE,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
BOY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
BREAD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
BROWN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
CHICKEN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
COFFEE,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
COLD,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
CORRECT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
COUSIN,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
CRAB,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
DARK,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
DAUGHTER,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
DEAF,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
DEAF BLIND,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
DECEMBER,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
DON’T KNOW,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
DON’T UNDERSTAND,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
EGG,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
EIGHT,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
FAST,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
FATHER,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
FEBRUARY,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
FISH,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
FIVE,0,0,0,0,0.0,0.0,0.0,0.0,0.0,AMBIGUOUS,manual_review:no_processed_videos_for_label
