video_path,label,total_frames,left_present_frames,right_present_frames,both_present_frames,left_presence_ratio,right_presence_ratio,both_presence_ratio,left_motion_total,right_motion_total,left_motion_mean,right_motion_mean,dominant_hand,non_dominant_presence_ratio,non_dominant_motion_ratio,classification
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\0.MOV,DEAF BLIND,245,1,144,0,0.004082,0.587755,0.0,0.0,0.866933,0.0,0.006062,RIGHT,0.004082,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\1.MOV,FEBRUARY,244,0,121,0,0.0,0.495902,0.0,0.0,0.894889,0.0,0.007457,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\10.MOV,YESTERDAY,245,0,108,0,0.0,0.440816,0.0,0.0,0.953973,0.0,0.008916,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\11.MOV,DON’T KNOW,244,0,113,0,0.0,0.463115,0.0,0.0,0.846772,0.0,0.007629,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\12.MOV,WEDNESDAY,244,0,106,0,0.0,0.434426,0.0,0.0,0.900863,0.0,0.008662,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\13.MOV,UNDERSTAND,244,0,111,0,0.0,0.454918,0.0,0.0,0.844348,0.0,0.007746,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\14.MOV,HARD OF HEARING,244,0,100,0,0.0,0.409836,0.0,0.0,0.797776,0.0,0.008058,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\15.MOV,NOVEMBER,244,0,102,0,0.0,0.418033,0.0,0.0,0.979027,0.0,0.009693,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\16.MOV,BLIND,244,0,111,0,0.0,0.454918,0.0,0.0,0.575257,0.0,0.005278,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\17.MOV,COLD,244,0,117,0,0.0,0.479508,0.0,0.0,0.817568,0.0,0.007109,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\18.MOV,GREEN,244,0,124,0,0.0,0.508197,0.0,0.0,1.017141,0.0,0.008476,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\19.MOV,IM FINE,244,0,106,0,0.0,0.434426,0.0,0.0,0.935305,0.0,0.008908,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\2.MOV,JUNE,244,0,117,0,0.0,0.479508,0.0,0.0,0.86461,0.0,0.007454,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\3.MOV,FATHER,244,29,121,29,0.118852,0.495902,0.118852,0.133686,0.859215,0.005142,0.00716,RIGHT,0.118852,0.155591,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\4.MOV,MOTHER,244,0,114,0,0.0,0.467213,0.0,0.0,0.801904,0.0,0.007096,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\5.MOV,UNDERSTAND,245,0,102,0,0.0,0.416327,0.0,0.0,1.16219,0.0,0.011507,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\6.MOV,SUGAR,245,0,88,0,0.0,0.359184,0.0,0.0,1.327371,0.0,0.015257,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\7.MOV,SUNDAY,244,0,88,0,0.0,0.360656,0.0,0.0,1.146145,0.0,0.013174,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\8.MOV,MONDAY,244,0,91,0,0.0,0.372951,0.0,0.0,1.032421,0.0,0.0116,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\0\9.MOV,COUSIN,244,0,92,0,0.0,0.377049,0.0,0.0,1.178018,0.0,0.012945,RIGHT,0.0,0.0,AMBIGUOUS
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\0.MOV,DEAF BLIND,244,0,125,0,0.0,0.512295,0.0,0.0,0.934489,0.0,0.007597,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\1.MOV,FEBRUARY,244,1,110,1,0.004098,0.45082,0.004098,0.0,0.809342,0.0,0.007494,RIGHT,0.004098,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\10.MOV,YESTERDAY,244,0,118,0,0.0,0.483607,0.0,0.0,0.968503,0.0,0.008349,RIGHT,0.0,0.0,ONE_HANDED
C:\BSIT 3RD YEAR\New VovGest\FSL-105 A dataset for recognizing 105 Filipino sign language videos\FSL-105 A dataset for recognizing 105 Filipino sign language videos\clips\clips\1\11.MOV,DON’T KNOW,244,0,112,0,0.0,0.459016,0.0,0.0,0.868941,0.0,0.007972,RIGHT,0.0,0.0,ONE_HANDED
