label,video_count,final_classification,confidence_note,one_handed_votes,two_handed_votes,ambiguous_votes,avg_left_presence,avg_right_presence,avg_both_presence,avg_left_motion,avg_right_motion
APRIL,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
AUGUST,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
AUNTIE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
BEER,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
BLACK,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
BLIND,105,AMBIGUOUS,manual_review:ambiguous_majority:74/105,11,20,74,0.145005,0.387054,0.135415,0.004143,0.011897
BLUE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
BOY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
BREAD,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
BROWN,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
CHICKEN,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
COFFEE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
COLD,105,AMBIGUOUS,manual_review:ambiguous_majority:73/105,16,16,73,0.145485,0.39576,0.137384,0.004163,0.012102
CORRECT,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
COUSIN,105,AMBIGUOUS,manual_review:ambiguous_majority:93/105,1,11,93,0.125693,0.324681,0.11885,0.004686,0.0136
CRAB,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
DARK,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
DAUGHTER,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
DEAF,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
DEAF BLIND,105,AMBIGUOUS,manual_review:ambiguous_majority:66/105,16,23,66,0.147054,0.394765,0.137358,0.003353,0.010362
DECEMBER,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
DON’T KNOW,105,AMBIGUOUS,manual_review:ambiguous_majority:97/105,3,5,97,0.120999,0.319955,0.114625,0.003843,0.011442
DON’T UNDERSTAND,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
EGG,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
EIGHT,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
FAST,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
FATHER,105,AMBIGUOUS,manual_review:ambiguous_majority:89/105,4,12,89,0.13401,0.349624,0.12302,0.004624,0.01161
FEBRUARY,105,AMBIGUOUS,manual_review:ambiguous_majority:79/105,10,16,79,0.14035,0.363832,0.127246,0.003699,0.011472
FISH,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
FIVE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
FOUR,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
FRIDAY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
GIRL,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
GOOD AFTERNOON,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
GOOD EVENING,6,AMBIGUOUS,manual_review:ambiguous_majority:3/6,1,2,3,0.306179,0.433344,0.294519,0.00899,0.011287
GOOD MORNING,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
GRANDFATHER,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
GRANDMOTHER,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
GRAY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
GREEN,104,AMBIGUOUS,manual_review:ambiguous_majority:78/104,9,17,78,0.142354,0.385432,0.135633,0.004246,0.01202
HARD OF HEARING,105,AMBIGUOUS,manual_review:ambiguous_majority:100/105,0,5,100,0.112923,0.316561,0.107211,0.003578,0.011464
HELLO,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
HOT,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
HOW ARE YOU,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
IM FINE,103,AMBIGUOUS,manual_review:ambiguous_majority:73/103,15,15,73,0.144299,0.393756,0.136438,0.0043,0.012048
JANUARY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
JUICE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
JULY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
JUNE,105,AMBIGUOUS,manual_review:ambiguous_majority:84/105,5,16,84,0.133868,0.353979,0.125612,0.004302,0.011586
KNOW,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
LIGHT,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
LONGANISA,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
MAN,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
MARCH,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
MARRIED,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
MAY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
MEAT,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
MILK,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
MONDAY,105,AMBIGUOUS,manual_review:ambiguous_majority:94/105,1,10,94,0.121299,0.321656,0.115904,0.004399,0.013911
MOTHER,105,AMBIGUOUS,manual_review:ambiguous_majority:89/105,3,13,89,0.129633,0.346924,0.119655,0.005102,0.011633
NICE TO MEET YOU,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
NINE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
NO,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
NO SUGAR,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
NOVEMBER,105,AMBIGUOUS,manual_review:ambiguous_majority:84/105,9,12,84,0.1352,0.357938,0.127139,0.003675,0.011867
OCTOBER,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
ONE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
ORANGE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
PARENTS,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
PINK,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
RED,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
RICE,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SATURDAY,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SEE YOU TOMORROW,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SEPTEMBER,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
SEVEN,27,AMBIGUOUS,manual_review:ambiguous_majority:21/27,3,3,21,0.155161,0.400504,0.148311,0.004256,0.010747
SHRIMP,0,AMBIGUOUS,manual_review:no_processed_videos_for_label,0,0,0,0.0,0.0,0.0,0.0,0.0
