path,meta_path,label,signer_id,recording_session,source_video,device_model,source,feature_version,feature_version_source,content_sha256,pose_presence_ratio,hand_presence_ratio,split
external_datasets\fsl_features\AUNTIE\fsl105_0_w20.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w20.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,4178999eb305ae55a1e81efc48fdd3290bd47ea0b905bf855a53cb4d8de4f979,1.0,0.8,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w21.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w21.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,8f7166f6171a9af6db14e2d0b47d50390437712ef10a473c49e73b50f53981db,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w22.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w22.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,bfa589a548aaf411f3915bcf8e3ca085239b95787be2e7e26359dabc01dd9d2f,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w23.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w23.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,a3302f5cc8f18023caa02fcf4c23bb2d1a4acd77b1554e29244c8e4a1f2b6695,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w24.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w24.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,9f427cfbd678227f06360a79b3e02c587af33117a095ed7dd174793fca1fde5e,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w25.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w25.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,e1ec37c7d000b540c03ffbe6d2aeade5e4298f5a81b64df8670affaf2d3c7dcf,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w26.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w26.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,db4bcf9402be234d214024f82a33889dc170bf79db577af8852f0889d7f67c7a,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w27.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w27.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,f4ddd6306256d803fbd00a2742f36bbfbf3b2d6a1a33e76231c3d38d959f22ef,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w28.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w28.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,6915e04ec059ff5ffea7e5dbd0af5f843ff50c65557d79f40908fa0f11e03bfa,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w29.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w29.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,fd31a1e85b33c6d8bbb0aa94ff691237e8abb3dce47cc630b4b609394d6c73b2,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w30.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w30.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,71f75fd8e1185a960ebe3cddc98de5254aafbfac30b068ab75f68118ab91e181,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w31.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w31.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,6cda8f8963e9be2d6e680d7d30950abeb121018be67286228c19b72e06066db7,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w32.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w32.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,77621830fcd47f8cb6bdce79f95077e7c33871dbabfa640907b3c52c81944f3f,1.0,1.0,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w33.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w33.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,85201adaa6bbddeb9a993eb89c01e156e42f1985d621bc36ab4210e6f8f0d8bc,1.0,0.95,test
external_datasets\fsl_features\AUNTIE\fsl105_0_w34.npy,external_datasets\fsl_features\AUNTIE\fsl105_0_w34.meta.json,AUNTIE,fsl105_0,clips/59/0.MOV,clips/59/0.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,5d75580ee450dcd735abe84e47347690249f9e5bb44f36396e9281a95a49b000,1.0,0.75,test
external_datasets\fsl_features\AUNTIE\fsl105_10_w25.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w25.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,91b89b24b4c19a8a2f9251b67c228eac450ac12450442a130022475e240cc53c,1.0,0.85,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w26.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w26.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,00f04f3d2bc48e19f0b8449e10ea29ae89ebc9d861d66ce075f6147074c730f3,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w27.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w27.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,35f126fac57700a5b49ce126461fcc3555f5522b198f2c02285751e090e7514a,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w28.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w28.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,3ec4a9940dd521ca0a96849465b02213f3a6b596b45d05a3e1e9245991dea827,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w29.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w29.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,649ca641947efc3f1dee935c9b260111e48ce802cb287c4ba5d20028f5ea7abe,1.0,1.0,train
external_datasets\fsl_features\AUNTIE\fsl105_10_w30.npy,external_datasets\fsl_features\AUNTIE\fsl105_10_w30.meta.json,AUNTIE,fsl105_10,clips/59/10.MOV,clips/59/10.MOV,FSL105_VIDEO,fsl105,onehand162_20f_nose_mcp_z03_v2,inferred_verified_extractor_provenance,38c739519e120e73c138263341c2ae070271cf3e7729761d49134d1819e4f442,1.0,1.0,train
