source_dataset,class_label,tier,raw_total_clips,decoded_clips,technical_pass,technical_review,technical_reject,pose_presence,any_hand_presence,left_hand_presence,right_hand_presence,both_hand_presence,internal_dropout,motion_duration_ms_p05,motion_duration_ms_median,motion_duration_ms_p95,active_landmark_frames_p05,active_landmark_frames_median,active_landmark_frames_p95,complete_event_usable_rate,selected_pass_tensors,tensor_shape,tensor_finite,source_limitations
MAPUA_TRANSACTIONAL_FSL,HELLO,A,49,49,19,22,8,1.0,0.604082,0.604082,0.0,0.0,0.058776,760.0,1880.0,2968.0,18.4,36.0,72.6,0.387755,19,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,THANK_YOU,A,42,42,24,17,1,1.0,0.687302,0.671429,0.634603,0.61873,0.038413,764.0,2320.0,2992.0,19.05,54.5,74.7,0.571429,24,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,YES,A,40,40,26,12,2,1.0,0.913667,0.912,0.002667,0.001,0.027333,2320.0,2720.0,3000.0,49.95,67.5,75.0,0.650000,26,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,NO,A,42,42,33,9,0,1.0,0.896825,0.89619,0.000635,0.0,0.00381,1764.0,2640.0,3000.0,44.1,65.5,75.0,0.785714,33,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,PLEASE,A,42,42,17,25,0,1.0,0.882222,0.881905,0.003175,0.002857,0.006349,2128.0,2580.0,3000.0,53.15,64.5,75.0,0.404762,17,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,HOW_MUCH,A,44,44,12,27,5,1.0,0.579394,0.578485,0.002727,0.001818,0.059697,606.0,1840.0,2760.0,14.0,41.5,65.0,0.272727,12,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,CASH,A,38,38,26,11,1,1.0,0.712982,0.678596,0.632632,0.598246,0.007018,982.0,2360.0,3000.0,22.85,57.5,75.0,0.684211,26,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,CARD,A,44,44,34,10,0,1.0,0.765758,0.757879,0.263636,0.255758,0.034848,1686.0,2460.0,2816.0,37.0,60.0,70.4,0.772727,34,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,RECEIPT,A,42,42,28,13,1,1.0,0.769524,0.763492,0.764762,0.75873,0.007302,1046.0,2400.0,3000.0,25.2,60.0,75.0,0.666667,28,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,WAIT,A,40,40,29,11,0,1.0,0.849333,0.849333,0.000333,0.000333,0.012,518.0,2520.0,3000.0,12.0,62.0,75.0,0.725000,29,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,HOW_MANY,B,44,44,20,23,1,1.0,0.620303,0.617879,0.017273,0.014848,0.052121,1070.0,1720.0,2634.0,22.3,40.5,63.85,0.454545,20,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,AGAIN,B,44,44,33,11,0,1.0,0.742121,0.639394,0.585455,0.482727,0.022121,1012.0,2340.0,3000.0,24.45,57.0,74.0,0.750000,33,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,PROBLEM,B,42,42,38,4,0,1.0,0.857778,0.754921,0.737778,0.634921,0.018413,2010.0,2580.0,2998.0,48.1,63.0,73.95,0.904762,38,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,COIN,CONTINGENCY_RETAIL,44,44,27,17,0,1.0,0.718485,0.698182,0.053333,0.03303,0.022727,1320.0,2180.0,2988.0,30.15,52.5,74.7,0.613636,27,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
MAPUA_TRANSACTIONAL_FSL,DISCOUNT,CONTINGENCY_RETAIL,44,44,28,16,0,1.0,0.677879,0.627576,0.595455,0.545152,0.00303,1126.0,1680.0,2954.0,28.15,42.0,73.85,0.636364,28,48x225_float32,PASS,single_published_dataset;signer_ids_unavailable
