class_label,strength,relative_path,record_id,raw_sha256_prefix,motion_start_frame,motion_middle_frame,motion_end_frame,complete_trajectory_frames,pose_present_frames,left_hand_present_frames,right_hand_present_frames,feature_sha256,contact_sheet_sha256
HELLO,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_21.mp4,cb64c7cc335acaf8,b33f8426b163d20e,17,31,46,30,75,47,0,47116793ccaefff50b7ade713da8f11d0d45fed195a4a0b30f201969b4b03b19,3c7ef19a069ff18d956aa4b97386f93b94ec29c0281020b14147e3087b26ce15
HELLO,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/HELLO/HELLO_36.mp4,353d6b425c535fd3,f2ba6d4f36d70ea9,0,37,74,75,75,75,0,740460be69e1b7b18846411f2df9c84ab1794fbd03c6e5ec818396567c893bc3,015ae9aecb0e0775f3f8997f21584d5807e751b53332feb7e16669f7f57a2771
THANK_YOU,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/THANK_YOU/THANK_YOU_40.mp4,187a73d43a51cded,8e3e5759217557f4,13,32,51,39,75,38,38,5231da853450c40652d93d4b834e156d2b09caef5a14883a90697fbdc5d3469f,1aa4cc750b2586fa75da4e2546d4d06f4857af4fc42ca84f227eb7fe3f6c609b
THANK_YOU,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/THANK_YOU/THANK_YOU_19.mp4,1634734e49a272a8,b596c2ed4e89feeb,0,37,74,75,75,75,64,d4b51065a4924b016da41c6041d8927d03351dcf12a742e34a83e284eff86a8e,4e897b753711962b38c371c3e518288c9d1b1f9cc85670a08930ac37659a5f97
YES,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_30.mp4,6e79df37dbe0f146,e3e9c6f306277a5b,19,46,74,56,75,54,0,e10c82d60ba17a99eca21691307b91d09520bf1fb472b40b68f73963966af178,6a3d88fa1ce7b84d4a67e22ff7b99da91d62f87b30f699ddbb0ed02417ce6119
YES,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/YES/YES_4.mp4,6c903758982fe7a1,256e0e166d26a0ad,0,37,74,75,75,75,0,5af69c02c5802f5c66d3eddef875d9bc188a6a4e70b36bddfe00c1130062ef25,e78d665762ecc3b37d65ba190286581b9c9b97ef98408ccfbdbc522548fef853
NO,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/NO/NO_14.mp4,51f6393d388f70d4,aba2605d22f7589a,9,30,52,44,75,64,0,e5333cccab4fb4d43a3c49c6955f656001190e1674c564d965dc596a0a61d580,791ef233b62aa263b9fdcecb54346cf6e60173ae39ab27a6bd34712a831c5076
NO,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/NO/NO_9.mp4,7ebacb02e214d4de,7b83c6cb896b6830,0,37,74,75,75,75,0,cdef0d9e5da1dacb170c7bfffcd554fb0975c59dd28c5a25ff9dfac12cbdad85,40a52e79afbeb00497eaaa8671ba80b6fc1580ad6cc382d746ce2e954381e584
PLEASE,weak,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/PLEASE/PLEASE_16.mp4,f2378634c6edf3ff,a9bef930d5b70fc8,12,43,74,63,75,61,0,09e3ed8c35623af6921217bd99d76e68fd23e966cff17b2ec6293e4cce0074de,70f1e693e6202d020b1113bdf21ea8304805bf1e0092af1b279227440b1fdbbf
PLEASE,strong,Transactional Filipino Sign Language Dataset/Transactional Filipino Sign Language Dataset/recorded_data/PLEASE/PLEASE_9.mp4,a37725137912fcd5,aef0d34446ef2d53,0,37,74,75,75,75,0,49fb903ec00a7048010d36e4fbcfe708ae94767779b69145b418f32723ed9f7c,2044539848af67fba9100a9c4f9ff56878df250c4831e24366a9187c48415a7e
