source_label,source_count,mean_mae,median_mae,p95_mae,mean_rmse,mean_pearson,mean_cosine,mean_abs_motion_start_difference,mean_abs_motion_end_difference,mean_abs_pose_presence_difference,mean_abs_left_hand_presence_difference,mean_abs_right_hand_presence_difference,mp4_mean_trajectory_motion_l2,npy_mean_trajectory_motion_l2,mp4_mean_trajectory_motion_p95_l2,npy_mean_trajectory_motion_p95_l2
HELLO,19,0.055295236,0.047587387,0.139768280,0.160909090,0.959284435,0.969132707,0.631578947,4.842105263,0.000000000,0.631578947,0.000000000,1.046892524,1.274001400,3.234310515,4.262954452
THANK_YOU,24,0.219019907,0.145159082,0.675170399,0.578151188,0.922304762,0.942661172,1.125000000,1.583333333,0.000000000,0.458333333,1.166666667,5.188610845,4.698302291,17.130119184,15.949207877
YES,26,0.056456640,0.053515363,0.122878343,0.176673190,0.961087694,0.975770953,0.692307692,0.230769231,0.000000000,0.307692308,0.076923077,1.985003884,1.812016365,5.968875802,4.722798287
NO,33,0.032812735,0.026248102,0.053263582,0.103292408,0.982573045,0.989017008,0.060606061,0.393939394,0.000000000,0.060606061,0.060606061,1.169530733,1.098686299,3.822291311,3.441743951
PLEASE,17,0.040527093,0.035254217,0.082109577,0.107604930,0.991954955,0.994060268,0.470588235,0.000000000,0.000000000,0.176470588,0.058823529,2.083311471,2.133860868,4.286562946,4.511146891
HOW_MUCH,12,0.174747811,0.150710535,0.366677782,0.556027519,0.901535028,0.936763934,1.833333333,2.250000000,0.000000000,1.166666667,0.250000000,4.055767945,3.195730450,13.663342182,10.889987673
CASH,26,0.288604481,0.277811806,0.472857653,0.899893201,0.856544278,0.890549583,1.461538462,1.000000000,0.000000000,0.884615385,2.576923077,7.620514836,6.329758799,26.391254645,21.493779641
CARD,34,0.124595003,0.101863954,0.249755296,0.366744941,0.934306167,0.951733330,0.764705882,1.323529412,0.000000000,0.705882353,0.529411765,3.805861258,3.829495942,11.983879059,12.839408075
RECEIPT,28,0.058164275,0.043713321,0.117995790,0.156220094,0.974306216,0.979551443,0.500000000,2.000000000,0.000000000,0.142857143,0.357142857,1.639791534,1.638108204,6.110012525,6.226134382
WAIT,29,0.113985568,0.033825268,0.264707506,0.318171064,0.944410533,0.959504728,7.000000000,7.965517241,0.000000000,0.206896552,0.793103448,1.137401836,0.913201457,4.374513097,3.455230354
HOW_MANY,20,0.205002830,0.172288918,0.419446159,0.638418479,0.879250279,0.914179583,0.300000000,3.550000000,0.000000000,1.900000000,0.350000000,4.428400571,4.285558117,14.212030419,13.950099924
AGAIN,33,0.476241396,0.412630029,1.043730141,1.220438641,0.833932212,0.869399199,1.151515152,2.818181818,0.000000000,3.151515152,3.757575758,8.103660280,6.935123946,26.487348163,22.871659341
PROBLEM,38,0.114152117,0.068662193,0.378947231,0.305219528,0.951833067,0.962980384,0.421052632,0.289473684,0.000000000,1.078947368,1.473684211,5.444862247,5.137330473,12.898580567,11.409217757
COIN,27,0.075443232,0.044379473,0.236535406,0.231452302,0.954176562,0.959865061,0.333333333,2.074074074,0.000000000,0.703703704,1.592592593,2.130495351,2.100837307,9.031584208,8.109477038
DISCOUNT,28,0.138915035,0.112960510,0.258352986,0.396262099,0.946163871,0.960543947,0.892857143,2.214285714,0.000000000,0.892857143,0.535714286,3.925094505,3.847041430,14.306212216,13.796778727
