pipeline,true_label,HELLO,THANK_YOU,YES,NO,PLEASE,HOW_MUCH,CASH,CARD,RECEIPT,WAIT,HOW_MANY,AGAIN,PROBLEM,COIN,DISCOUNT
MP4_HOLISTIC,HELLO,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP4_HOLISTIC,THANK_YOU,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
MP4_HOLISTIC,YES,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
MP4_HOLISTIC,NO,0,0,2,25,0,0,0,0,0,1,0,0,0,0,0
MP4_HOLISTIC,PLEASE,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
MP4_HOLISTIC,HOW_MUCH,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
MP4_HOLISTIC,CASH,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0
MP4_HOLISTIC,CARD,1,0,0,0,0,0,0,27,0,0,0,0,0,0,1
MP4_HOLISTIC,RECEIPT,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
MP4_HOLISTIC,WAIT,0,0,0,0,0,0,0,0,0,24,0,1,0,0,0
MP4_HOLISTIC,HOW_MANY,0,0,0,0,0,0,0,0,0,1,13,0,0,3,0
MP4_HOLISTIC,AGAIN,0,0,0,0,0,1,0,0,0,0,1,26,0,0,0
MP4_HOLISTIC,PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
MP4_HOLISTIC,COIN,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
MP4_HOLISTIC,DISCOUNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
ORIGINAL_NPY,HELLO,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORIGINAL_NPY,THANK_YOU,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
ORIGINAL_NPY,YES,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0
ORIGINAL_NPY,NO,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0
ORIGINAL_NPY,PLEASE,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
ORIGINAL_NPY,HOW_MUCH,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
ORIGINAL_NPY,CASH,0,2,0,0,0,0,20,0,0,0,0,0,0,0,0
ORIGINAL_NPY,CARD,0,0,0,0,0,0,0,27,0,0,0,0,0,1,1
ORIGINAL_NPY,RECEIPT,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0
ORIGINAL_NPY,WAIT,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
ORIGINAL_NPY,HOW_MANY,0,0,0,0,0,0,0,0,0,1,15,0,0,1,0
ORIGINAL_NPY,AGAIN,0,0,0,0,0,0,0,0,0,0,1,25,0,0,2
ORIGINAL_NPY,PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0
ORIGINAL_NPY,COIN,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
ORIGINAL_NPY,DISCOUNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
