label,signer,batch,file,status,shape,error
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_001_A33EA1BF.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_002_BBA15904.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_003_CAB33821.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_004_6512918D.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_005_395C09F2.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_006_C142EB97.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_007_CD742E49.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_008_754660CF.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_009_998AB89D.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_010_857E7965.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_011_BC2F40B2.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_012_E174D167.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_013_4BB422ED.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_014_94A018E2.npy,ok,"(30, 225)",
EAT,ANASTACIA,DIRECT,C:\BSIT 3RD YEAR\New VovGest\external_datasets\fullsign225_manual5_team_features_v2\EAT\ANASTACIA_DIRECT_EAT_015_B07ADDC4.npy,ok,"(30, 225)",
