section,profile,label,signer,source,count,minimum,preferred,ready_min,ready_preferred,missing_min,missing_preferred,path,shape,expected_shape,source_zip,source_folder,reason,error
per_label,fullsign225_phrase_v1,WHAT,,,298,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,YOUR,,,268,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,NAME,,,245,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,MY,,,256,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,YOU,,,330,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,OKAY,,,275,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,STUDENT,,,272,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,WHERE,,,250,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,LIVE,,,307,120,150,True,True,0,0,,,,,,,
per_label,fullsign225_phrase_v1,NOTHING,,,892,240,300,True,True,0,0,,,,,,,
per_signer,fullsign225_phrase_v1,,ANASTACIA,,1509,,,,,,,,,,,,,
per_signer,fullsign225_phrase_v1,,EARLE,,640,,,,,,,,,,,,,
per_signer,fullsign225_phrase_v1,,MARIELLA,,1244,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,WHAT,ANASTACIA,,130,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,YOUR,ANASTACIA,,109,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,NAME,ANASTACIA,,94,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,MY,ANASTACIA,,94,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,YOU,ANASTACIA,,141,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,OKAY,ANASTACIA,,91,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,STUDENT,ANASTACIA,,104,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,WHERE,ANASTACIA,,95,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,LIVE,ANASTACIA,,114,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,NOTHING,ANASTACIA,,537,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,WHAT,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,YOUR,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,NAME,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,MY,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,YOU,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,OKAY,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,STUDENT,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,WHERE,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,LIVE,EARLE,,60,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,NOTHING,EARLE,,100,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,WHAT,MARIELLA,,108,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,YOUR,MARIELLA,,99,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,NAME,MARIELLA,,91,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,MY,MARIELLA,,102,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,YOU,MARIELLA,,129,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,OKAY,MARIELLA,,124,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,STUDENT,MARIELLA,,108,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,WHERE,MARIELLA,,95,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,LIVE,MARIELLA,,133,,,,,,,,,,,,,
per_signer_per_label,fullsign225_phrase_v1,NOTHING,MARIELLA,,255,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,DATASET_WORDS_EARLE_FINAL_SAFE,370,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,DATASET_WORDS_EARLE_PHRASEV1_FIXED2,270,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,EXTERNAL_DATASETS_ANASTACIA,370,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,EXTERNAL_DATASETS_TEOFILO,270,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,RECORDED_FEATURES_ANAS,270,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,RECORDED_FEATURES_ANASTACIA,869,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,RECORDED_FEATURES_MARIELLA_FINAL,604,,,,,,,,,,,,,
per_source,fullsign225_phrase_v1,,,TEOFILE_PHRASEV1_FIXED2_EXTERNAL_DATASETS_TEOFILO_20260524T14572,370,,,,,,,,,,,,,
