section,profile,label,signer,source,count,minimum,preferred,ready_min,ready_preferred,missing_min,missing_preferred,path,shape,expected_shape,source_zip,source_folder,reason,error
per_label,onehand162_phrase_v1,WHAT,,,260,120,170,True,True,0,0,,,,,,,
per_label,onehand162_phrase_v1,YOUR,,,310,120,170,True,True,0,0,,,,,,,
per_label,onehand162_phrase_v1,NAME,,,310,120,170,True,True,0,0,,,,,,,
per_label,onehand162_phrase_v1,MY,,,160,80,120,True,True,0,0,,,,,,,
per_label,onehand162_phrase_v1,NOTHING,,,380,180,240,True,True,0,0,,,,,,,
per_signer,onehand162_phrase_v1,,ANASTACIA,,240,,,,,,,,,,,,,
per_signer,onehand162_phrase_v1,,EARLE,,550,,,,,,,,,,,,,
per_signer,onehand162_phrase_v1,,MARIELLA,,630,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,WHAT,ANASTACIA,,40,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,YOUR,ANASTACIA,,40,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,NAME,ANASTACIA,,40,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,MY,ANASTACIA,,40,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,NOTHING,ANASTACIA,,80,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,WHAT,EARLE,,90,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,YOUR,EARLE,,140,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,NAME,EARLE,,140,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,MY,EARLE,,40,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,NOTHING,EARLE,,140,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,WHAT,MARIELLA,,130,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,YOUR,MARIELLA,,130,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,NAME,MARIELLA,,130,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,MY,MARIELLA,,80,,,,,,,,,,,,,
per_signer_per_label,onehand162_phrase_v1,NOTHING,MARIELLA,,160,,,,,,,,,,,,,
per_source,onehand162_phrase_v1,,,DATASET_WORDS_EARLE_FINAL_SAFE,240,,,,,,,,,,,,,
per_source,onehand162_phrase_v1,,,DATASET_WORDS_EARLE_PHRASEV1_FIXED2,310,,,,,,,,,,,,,
per_source,onehand162_phrase_v1,,,DATASET_WORDS_LSTM_TEOFILO,150,,,,,,,,,,,,,
per_source,onehand162_phrase_v1,,,RECORDED_FEATURES_ANASTACIA,240,,,,,,,,,,,,,
per_source,onehand162_phrase_v1,,,RECORDED_FEATURES_MARIELLA_FINAL,240,,,,,,,,,,,,,
per_source,onehand162_phrase_v1,,,TEOFILE_PHRASEV1_FIXED2_DATASET_WORDS_LSTM_TEOFILO_20260524T1457,240,,,,,,,,,,,,,
